Object ID,FIPS_CODE,TOTAL_POPULATION,MEDIAN_AGE,PCT_POVERTY,PCT_HSNGCSTS_OVR_50_PCT,PCT_OCR_25_HGHSCL_CMPLT,PCT_OVR_25_BCHLRS_CMPLT,PCT_UNEMPLOYED
219,17031190200,5624,35,11.9,31.28834356,28.8,16.9,5.2
220,17031190300,5535,35.9,16.7,37.58465011,29.5,16,5.6
221,17031190401,4193,35.5,18.4,16.2371134,34.6,21.6,8.9
222,17031190402,5572,36.7,7.3,10.78014184,32.8,16.1,6
223,17031190601,5145,31.7,16,28.0148423,37.3,12.4,8.7
224,17031190602,5608,38.3,11.1,24.63054187,32.7,13.8,8.5
225,17031190701,2924,33.9,23.5,36.45224172,33,10,10.6
226,17031190702,4841,30.2,30.3,37.06293706,30.8,10,8.9
227,17031190800,7338,34.5,19,30.96309631,31.5,13.7,13.1
228,17031190900,2537,32.7,20.6,36.23853211,40.6,9.3,3.9
229,17031191000,2651,35.9,26,37.54266212,30.3,9.9,8.5
230,17031191100,7482,30.8,16.9,20.06688963,35.5,9.5,4.4
231,17031191200,3934,28.9,22.7,20.86811352,26.5,5.8,5.1
232,17031191301,5658,32.4,18.4,31.65644172,30.1,11.8,3.5
233,17031191302,5333,32.2,14.2,19.72222222,30.8,8.5,9.7
234,17031200100,3763,36.8,7.9,26.89873418,30,24.7,4.9
235,17031200200,4800,36.3,21.4,30.80357143,32.4,12.6,5.4
236,17031200300,1962,29,32.6,32.37179487,29,10.7,7.4
237,17031200401,3746,33.6,18.5,35.78336557,21,11.5,9.6
238,17031200402,4380,32.3,19.3,36.03773585,16.3,19,5.1
239,17031210100,3684,33.8,13.6,28.72628726,15.7,51.8,4
240,17031210400,2851,33.6,23.6,29.15921288,28.2,20.1,6.5
241,17031210501,3273,33.2,21.7,20.06269592,18.2,26,8.8
242,17031210502,4685,31.7,30.2,27.40021575,27.5,26.5,4.6
243,17031210601,2761,34.1,12.4,16.79104478,18.9,37,6
244,17031210602,4200,32.3,15.1,22.09821429,22.8,35.9,3.3
245,17031210700,4392,32.7,22.8,20.89077413,24.8,38.4,6.2
246,17031210800,1077,29.2,5.5,1.680672269,22.8,45,2.1
247,17031210900,3095,30.4,16,52.5606469,21.6,53.6,0.9
248,17031220300,2201,33.4,10.7,13.32046332,10.4,64.2,4.5
249,17031220400,2643,33.5,6,1.410658307,13.4,62.1,3.8
250,17031220500,2607,30.6,8.5,12.79554937,14,71,1.4
251,17031220601,1763,30.9,12.3,21.1790393,17.1,53.3,2.7
252,17031220602,5058,33.1,17.1,14.24731183,20.7,49.3,6.5
253,17031220701,3230,32.6,13.5,17.01807229,37,37.4,4.9
254,17031220702,3817,30.5,13.8,22.28320527,22.6,35.2,4.5
255,17031220901,3073,30.1,27.2,27.97527048,25.2,25.7,7.5
256,17031220902,2927,32.7,13.7,22.80071813,33.6,23.5,4.3
257,17031221000,2774,29.9,25.6,24.34017595,24.3,39.2,8.9
258,17031221100,5207,31.8,20.4,19.5505618,23.1,43.5,6.1
259,17031221200,2917,30.9,9.9,14.17218543,18.6,63.5,4.6
260,17031221300,2848,33.5,22,10.83499006,15,52,4.8
261,17031221400,3026,32.8,7,19.875,15.9,56.8,2.1
262,17031221500,2822,35,10,9.101123596,19.5,53.5,4.1
263,17031221600,3136,31.5,5.6,13.3431085,8.3,79.7,1
264,17031222200,2226,30.7,6.1,10.88888889,4.8,82.7,5.5
265,17031222500,1748,32.5,22.6,26.21082621,26.4,46,7.2
266,17031222600,1573,31.1,7.2,13.87665198,13.4,56.6,4.8
267,17031222700,2462,29.6,19.8,20.54329372,32.7,38,2.7
268,17031222800,968,29.9,23.8,25.36764706,34.8,34.2,4.6
269,17031222900,1051,28.2,11.8,20.38216561,34.6,16.4,3.9
270,17031230100,1794,29.7,25.3,18.85441527,23.6,39.6,4.9
271,17031230200,2149,31.4,20.7,24.13793103,27.1,18.5,9.5
272,17031230300,1001,28.8,19.3,21.46341463,35.5,13.8,11.5
273,17031230400,2089,35.3,21.1,28.44036697,24.4,19.8,14.9
274,17031230500,3489,35.5,34.5,30.89244851,21.9,11.1,10.1
275,17031230600,7303,26.4,25.8,20.35335689,30.8,12.5,17.8
276,17031230700,5899,31.1,20.5,29.83193277,32.1,12.2,5.5
277,17031230800,1425,32.3,22.2,33.74233129,28.7,12.4,11.5
278,17031230900,4965,31.8,33.1,25.04118616,23.1,30,6.3
279,17031231100,1292,31.9,29.4,48.37209302,34.5,15.3,21.2
280,17031231200,6782,29.9,31,33.28445748,26.1,13.4,10.9
281,17031231500,5772,38.7,37.5,28.39285714,27.2,11,20.2
282,17031240200,1641,33.3,6.9,12.03208556,13.1,74.2,3.6
283,17031240300,1215,32.4,4.6,9.688581315,5.5,85,1.8
284,17031240500,2267,33.5,2.7,6.56167979,1.8,94,1.4
285,17031240600,1506,30.8,8.2,21.42857143,17.6,68.1,3.4
286,17031240700,1752,31,23.2,24.64788732,19.7,52.9,5
287,17031240800,1500,32.5,22.1,28.3919598,19.8,44.8,8.6
288,17031240900,928,42,28.9,26.70157068,18.9,34.9,4.9
289,17031241000,2096,31.4,28.5,21.48288973,14.5,46.5,4.7
290,17031241100,3826,29.4,23.4,20.86720867,13.7,61.9,5.8
291,17031241200,1797,32.2,7.3,12.86307054,6.5,68.1,1.1
292,17031241300,2090,30.6,14.7,18.52791878,9.6,75.1,3.9
293,17031241400,5230,30.7,10.5,18.72770511,3.8,76.3,1.4
294,17031241500,2930,30.3,12.9,8.056265985,2.2,81.4,2.3
295,17031241600,3603,29.9,11.5,10.29288703,6,71.8,3
296,17031242000,5254,29.8,17.5,12.42236025,6.1,66.9,3.3
297,17031242100,3878,30.9,8.1,5.148741419,8.2,79.7,3.4
298,17031242200,3347,31.9,6.1,15.66018424,5.2,81.7,2
299,17031242300,3306,33.6,5.5,8.612975391,7.7,76.8,1
300,17031242400,2679,32.9,10.8,8.858057631,8,68.9,3.3
301,17031242500,3282,33.6,14.3,19.53578337,11.9,58,4.1
302,17031242600,5752,31.4,17.3,15.91289782,16.2,58.6,3
303,17031242700,1669,33.4,20.6,30.01808318,17.5,38,9
304,17031242800,1542,34.4,5.6,9.090909091,18.9,57.8,5.5
305,17031242900,1617,34.4,3.4,14.95535714,7.7,72.5,0.5
306,17031243000,2274,34.8,7.1,10.9375,16.3,49,5.2
307,17031243100,2044,33.6,7.2,20.38834951,4.2,70.6,2.5
308,17031243200,2206,31.1,11.2,14.99013807,10.4,73.4,4.2
309,17031243300,2375,32.4,11.6,14.07284768,9.3,70.7,2.1
310,17031243400,2742,32.8,14.5,11.11111111,11.8,62.6,3
311,17031243500,3584,31.4,7.8,12.3343527,7.4,77.2,8.3
312,17031250200,2730,32.6,15.8,33.63914373,37.4,13.4,14.5
313,17031250300,5118,30,32.8,44.38386041,38.7,20.9,9.7
314,17031250400,4963,35.1,26.1,33.14606742,27.8,13.9,16.6
315,17031250500,7452,41.5,11.6,18.14516129,24.3,39.6,9.4
316,17031250600,4120,42.2,15.3,35.27918782,39,16.5,11.2
