GEOID,TOTAL_POPULATION,MEDIAN_AGE,PCT_POVERTY,PCT_HSNGCSTS_OVR_50_PCT,PCT_OVR_25_HGHSCL_CMPLT,PCT_OVR_25_BCHLRS_CMPLT,PCT_UNEMPLOYED,COMMUNITY_AREA_NUMBER,COMMUNITY_AREA_NAME,COMMUNITY_AREA_GROUP
17031170900,1881,40.9,6.7,28.1,36.2,23.6,4.5,17,DUNNING,Northwest
17031171000,7328,42.6,8.7,26.6,30.5,23.7,6.6,17,DUNNING,Northwest
17031171100,3841,36.4,9.5,33.3,28.2,31,3.3,17,DUNNING,Northwest
17031180100,6360,38,18.5,24.1,33.4,18.2,5,18,MONTCLARE,Northwest
17031190100,2606,35.1,22.9,37.1,31.4,13.7,3.8,19,BELMONT CRAGIN,Northwest
17031190200,5624,35,11.9,31.3,28.8,16.9,5.2,19,BELMONT CRAGIN,Northwest
17031190300,5535,35.9,16.7,37.6,29.5,16,5.6,19,BELMONT CRAGIN,Northwest
17031190401,4193,35.5,18.4,16.2,34.6,21.6,8.9,19,BELMONT CRAGIN,Northwest
17031190402,5572,36.7,7.3,10.8,32.8,16.1,6,19,BELMONT CRAGIN,Northwest
17031190601,5145,31.7,16,28,37.3,12.4,8.7,19,BELMONT CRAGIN,Northwest
17031190602,5608,38.3,11.1,24.6,32.7,13.8,8.5,19,BELMONT CRAGIN,Northwest
17031190701,2924,33.9,23.5,36.5,33,10,10.6,19,BELMONT CRAGIN,Northwest
17031190702,4841,30.2,30.3,37.1,30.8,10,8.9,19,BELMONT CRAGIN,Northwest
17031190800,7338,34.5,19,31,31.5,13.7,13.1,19,BELMONT CRAGIN,Northwest
17031190900,2537,32.7,20.6,36.2,40.6,9.3,3.9,19,BELMONT CRAGIN,Northwest
17031191000,2651,35.9,26,37.5,30.3,9.9,8.5,19,BELMONT CRAGIN,Northwest
17031191100,7482,30.8,16.9,20.1,35.5,9.5,4.4,19,BELMONT CRAGIN,Northwest
17031191200,3934,28.9,22.7,20.9,26.5,5.8,5.1,19,BELMONT CRAGIN,Northwest
17031191301,5658,32.4,18.4,31.7,30.1,11.8,3.5,19,BELMONT CRAGIN,Northwest
17031191302,5333,32.2,14.2,19.7,30.8,8.5,9.7,19,BELMONT CRAGIN,Northwest
17031200100,3763,36.8,7.9,26.9,30,24.7,4.9,20,HERMOSA,Northwest
17031200200,4800,36.3,21.4,30.8,32.4,12.6,5.4,20,HERMOSA,Northwest
17031200300,1962,29,32.6,32.4,29,10.7,7.4,20,HERMOSA,Northwest
17031200401,3746,33.6,18.5,35.8,21,11.5,9.6,20,HERMOSA,Northwest
17031200402,4380,32.3,19.3,36,16.3,19,5.1,20,HERMOSA,Northwest
17031210100,3684,33.8,13.6,28.7,15.7,51.8,4,21,AVONDALE,North
17031210400,2851,33.6,23.6,29.2,28.2,20.1,6.5,21,AVONDALE,North
17031210501,3273,33.2,21.7,20.1,18.2,26,8.8,21,AVONDALE,North
17031210502,4685,31.7,30.2,27.4,27.5,26.5,4.6,21,AVONDALE,North
17031210601,2761,34.1,12.4,16.8,18.9,37,6,21,AVONDALE,North
17031210602,4200,32.3,15.1,22.1,22.8,35.9,3.3,21,AVONDALE,North
17031210700,4392,32.7,22.8,20.9,24.8,38.4,6.2,21,AVONDALE,North
17031210800,1077,29.2,5.5,1.7,22.8,45,2.1,21,AVONDALE,North
17031210900,3095,30.4,16,52.6,21.6,53.6,0.9,21,AVONDALE,North
17031220300,2201,33.4,10.7,13.3,10.4,64.2,4.5,22,LOGAN SQUARE,North
17031220400,2643,33.5,6,1.4,13.4,62.1,3.8,22,LOGAN SQUARE,North
17031220500,2607,30.6,8.5,12.8,14,71,1.4,22,LOGAN SQUARE,North
